,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
563,"Business Intelligence Engineer, Amazon",$117K - $203K (Employer est.),"This position will be part of the business analytics team responsible for building out analysis, visualization tools and processes for the FBA FIO businesses.…
Skills: Data mining, Business intelligence, Military, SQL, Statistical analysis",3.7,Amazon.com Services LLC,"Bellevue, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/business-intelligence-engineer-amazon-amazon-com-services-llc-JV_IC1150442_KO0,37_KE38,61.htm?jl=1009376772295"
564,Assistant Controller,$220K - $260K (Employer est.),"Ensure timely filing of federal, state and city tax returns and other statutory filings. Assist the Controller with technical accounting memos.…
Skills: NetSuite, SOX, E-commerce, Accounting, Cost accounting",3.2,ThredUp Inc.,"Oakland, CA",1001 to 5000 Employees,2009,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/assistant-controller-thredup-inc-JV_IC1147380_KO0,20_KE21,32.htm?jl=1009376312522"
565,"Software Engineer III, Generative AI, Google Workspace",-1,"Master's degree or PhD in Computer Science or related technical field. We're looking for engineers who bring fresh ideas from all areas, including information……
Skills: TensorFlow, Computer science, Data structures, Machine learning, Distributed systems",4.3,Google,"Sunnyvale, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-iii-generative-ai-google-workspace-google-JV_IC1147442_KO0,52_KE53,59.htm?jl=1009371690882"
566,"Machine Learning Scientist-NLP-PDPD, San Jose",$145K - $250K (Employer est.),"The Machine Learning Scientist will lead and collaborate with cross-functional teams to design, develop, and deploy sophisticated machine learning algorithms to……
Skills: TensorFlow, Statistics, R, Java, SQL",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/machine-learning-scientist-nlp-pdpd-san-jose-tiktok-JV_IC1147436_KO0,44_KE45,51.htm?jl=1009224830712"
567,"Manager, Business Analytics",$117K - $153K (Glassdoor est.),"Bachelor's or Master's degree in Computer Science, Data Science, Business Analytics, Operations Research, Statistics, Information Systems, or a related field.…
Skills: Tableau, SQL, Data science, Communication skills, Python",3.9,eBay,"Austin, TX",10000+ Employees,1995,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-business-analytics-ebay-JV_IC1139761_KO0,26_KE27,31.htm?jl=1009332060495"
568,( Remote ) Senior Data Scientist,-1,"Bachelor's degree in Computer Science, Data Science, Statistics, Mathematics, or a related technical field. You will leverage your expertise in data analysis,……
Skills: TensorFlow, Hospitality, Program management, R, Data analysis skills",3.1,"iTradeNetwork, Inc.",North Carolina,51 to 200 Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/remote-senior-data-scientist-itradenetwork-inc-JV_KO0,28_KE29,46.htm?jl=1009320134807"
569,"Manager, Measurement Operations-Uber Advertising",$137K - $169K (Employer est.),"Bachelor's degree or equivalent in math, statistics, physics, chemistry, engineering, economics, computer science, operational research or similar quantitative……
Skills: Microsoft Excel, Management, Data analysis skills, SQL, Intelligence targeting",3.9,Uber,"New York, NY",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/manager-measurement-operations-uber-advertising-uber-JV_IC1132348_KO0,47_KE48,52.htm?jl=1009337575041"
570,Machine Learning Engineer,$130K - $170K (Employer est.),"Bachelor’s or Master’s degree in Computer Science, Electrical Engineering, Data Science, Math, or a related field. Experience deploying LLM-based applications.…
Skills: TensorFlow, Kubernetes, Google Cloud Platform, AWS, Docker",4.6,Accrete.AI,"New York, NY",51 to 200 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/machine-learning-engineer-accrete-ai-JV_IC1132348_KO0,25_KE26,36.htm?jl=1009377497984"
571,"Manager, Core Data Science",$239K - $300K (Employer est.),"Strong technical foundations, with the ability to communicate technical concepts appropriately to engineering and business stakeholders.…
Skills: Growing experience, Spark, R, Data analysis skills, SQL",3.7,Zoox,"Foster City, CA",1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/manager-core-data-science-zoox-JV_IC1163997_KO0,25_KE26,30.htm?jl=1009371616699"
572,Senior Business Intelligence Engineer,$158K (Employer est.),"Requires: Master’s degree in Computer Science, Data Science, Information Technology, or closely related and 1 year in the job offered or as Senior BI Developer……
Skills: Human resources, IT",3.4,Conde Nast,"New York, NY",1001 to 5000 Employees,1909,Company - Public,Publishing,Media & Communication,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-business-intelligence-engineer-conde-nast-JV_IC1132348_KO0,37_KE38,48.htm?jl=1009340984007"
573,"Senior Data Scientist, Analytics Hub Team",$160K - $190K (Employer est.),"Identify and quantify causal relationships to better understand the levers available for driving specific business outcomes.…
Skills: TensorFlow, Relational databases, Software deployment, Spark, R",4.0,GameChanger,United States,51 to 200 Employees,2009,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-scientist-analytics-hub-team-gamechanger-JV_KO0,40_KE41,52.htm?jl=1009378902937"
574,"Director, RGM Data Science",$91K - $150K (Glassdoor est.),"Strong consultative communication skills diagnosing data to develop successful growth strategies with internal clients.…
Skills: Jira, Azure, DevOps, Git, Microsoft Office",4.1,Coca-Cola,"Atlanta, GA",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/director-rgm-data-science-coca-cola-JV_IC1155583_KO0,25_KE26,35.htm?jl=1009376131884"
575,Machine Learning Engineer I,$120K (Employer est.),"Bachelor’s degree in computer engineering, computer science, or similar field; or an equivalent combination of education and experience.…
Skills: TensorFlow, Yardi, Microsoft SQL Server, Git, Databases",4.1,"Yardi Systems, Inc.","Oxnard, CA",5001 to 10000 Employees,1982,Company - Private,Software Development,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/machine-learning-engineer-i-yardi-systems-inc-JV_IC1146980_KO0,27_KE28,45.htm?jl=1009381121811"
576,Data & Analytics Consultant (Retirement Marketing space),$77K - $182K (Employer est.),"Based on knowledge of strategy and difficulties, develop and deliver rich statistical analysis to bring insights to the Individual Solutions leadership team.…
Skills: Power BI, Data modeling, Microsoft Excel, SAS, Data structures",3.9,Principal Financial Group,"Des Moines, IA",10000+ Employees,1879,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-analytics-consultant-retirement-marketing-space-principal-financial-group-JV_IC1149246_KO0,52_KE53,78.htm?jl=1009378374595"
577,Senior Business Analytics Analyst,$85K - $106K (Glassdoor est.),"Bachelorâ€™s degree required in Informatics, Data Science, or other related field. Responsible for data management and analysis ensuring quality deliverables……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Management, Analysis skills",3.9,Blue Cross Blue Shield of Michigan,"Detroit, MI",5001 to 10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-business-analytics-analyst-blue-cross-blue-shield-of-michigan-JV_IC1134644_KO0,33_KE34,68.htm?jl=1009367615646"
578,"Sr. Data Scientist, Used Cars",$84K - $306K (Employer est.),"Degree or equivalent experience (2+ years) in a quantitative field, such as Data Science, Applied Mathematics, Statistics, or Economics.…
Skills: TensorFlow, Statistics, Power BI, Data modeling, Data mining",3.5,Tesla,"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/sr-data-scientist-used-cars-tesla-JV_IC1147434_KO0,27_KE28,33.htm?jl=1009381386291"
579,Staff Enterprise Data Engineer,$104K - $274K (Employer est.),"The data engineer will also be responsible for planning and implementing the best-in-class analytics and data science solutions utilizing a variety of……
Skills: Performance tuning, Computer science, Oracle, Sales, Salesforce",3.7,TriNet,Remote,1001 to 5000 Employees,1988,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/staff-enterprise-data-engineer-trinet-JV_KO0,30_KE31,37.htm?jl=1009350443535"
580,Principal Data Scientist,$175K - $231K (Glassdoor est.),"Apply technical expertise with quantitative analysis, experimentation, and the presentation of data to develop strategies for our business and help solve the……
Skills: R, Tableau, SQL, Analysis skills, Presentation skills",3.9,Atlassian,"Seattle, WA",5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/principal-data-scientist-atlassian-JV_IC1150505_KO0,24_KE25,34.htm?jl=1009337809887"
581,Director - Customer & Data Science,$119K - $187K (Glassdoor est.),"10+ years of experience in data science, customer analytics, business intelligence, or a related field, ideally within a retail organization.…
Skills: Business intelligence, R, English, Tableau, SQL",3.2,Michaels,"Irving, TX",10000+ Employees,1973,Company - Private,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/director-customer-data-science-michaels-JV_IC1140006_KO0,30_KE31,39.htm?jl=1009367443449"
582,Director of Data Science,$129K - $179K (Glassdoor est.),"Develop and evolve data science tools and solutions aimed at understanding the ever-changing needs and expectations of our customers and providing innovative……
Skills: Statistical software, Azure, Data mining, Waterfall, Software deployment",3.3,Ahold Delhaize USA,"Salisbury, NC",10000+ Employees,1867,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/director-of-data-science-ahold-delhaize-usa-JV_IC1139024_KO0,24_KE25,43.htm?jl=1009371220466"
583,Associate,$106K - $110K (Employer est.),"Requires two (2) years of experience with: data analysis, interpretation, and technology solutions for a financial services company; product management; system……
Skills: Data analysis skills, Product management",3.9,Morgan Stanley,"New York, NY",10000+ Employees,1935,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/associate-morgan-stanley-JV_IC1132348_KO0,9_KE10,24.htm?jl=1009342088211"
584,Senior Data Analyst - Remote,$70K - $138K (Employer est.),"Roles in this function could partner with stakeholders to understand data requirements and develop tools and models such as segmentation, dashboards, data……
Skills: Statistical software, Power BI, Management, R, Data analysis skills",3.5,Optum,"Eden Prairie, MN",10000+ Employees,--,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-data-analyst-remote-optum-JV_IC1142521_KO0,26_KE27,32.htm?jl=1009381116636"
